date,hrs_sesh,total_hours,tagged_this_session,tagged_total,left_to_tag,avg_tag_hr_session,avg_tag_hr_total
09/13/20,1.0,15.0,394.0,3594.0,7387.0,394.0,240.0
09/13/20,1.0,15.0,394.0,3594.0,7387.0,394.0,240.0
09/13/20,1.0,15.0,394.0,3594.0,7387.0,394.0,240.0
